Order,PID,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,Sale Condition,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bath,Total Bsmt SF,Total Porch SF,Total SF,Total SF (box-cox-0.0),Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,SalePrice,SalePrice (box-cox-0.0)
11,527163010,763.0,892.0,0.0,NA,3,1Fam,TA,No,0,0,Gd,763.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,TA,1,PConc,2,Typ,440.0,2,TA,Fin,TA,Attchd,1655.0,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,10000.0,Corner,IR1,0.0,060,RL,0.0,None,NA,0.0,4,Gilbert,84.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,763.0,241.0,2418.0,7.790696031174738,AllPub,157.0,1993,1994,2010,175900.0,12.077670930725649
12,527165230,1187.0,0.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,233.0,935.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,Gd,TA,HdBoard,HdBoard,GdPrv,NA,0,PConc,2,Typ,420.0,2,TA,Fin,TA,Attchd,1187.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,7980.0,Inside,IR1,0.0,020,RL,0.0,None,Shed,500.0,3,Gilbert,21.0,7,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,3.0,1168.0,504.0,2355.0,7.764296006450518,AllPub,483.0,1992,2007,2010,185000.0,12.128111104060462
13,527166040,789.0,676.0,0.0,NA,3,1Fam,TA,No,0,0,Gd,789.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,393.0,2,TA,Fin,TA,Attchd,1465.0,1,GasA,Gd,2Story,1,TA,Lvl,Gtl,8402.0,Inside,IR1,0.0,060,RL,0.0,None,NA,0.0,5,Gilbert,75.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,789.0,75.0,2254.0,7.720461694599722,AllPub,0.0,1998,1998,2010,180400.0,12.10293188661066
14,527180040,1341.0,0.0,0.0,NA,2,1Fam,TA,Gd,1,0,Gd,663.0,637.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,Po,1,PConc,1,Typ,506.0,2,TA,Unf,TA,Attchd,1341.0,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,10176.0,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,2,Gilbert,0.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,2.5,1300.0,192.0,2641.0,7.878912912297133,AllPub,192.0,1990,1990,2010,171500.0,12.052338545588132
15,527182190,1502.0,0.0,0.0,NA,1,TwnhsE,TA,Av,1,0,Gd,0.0,368.0,1120.0,GLQ,BLQ,Y,Norm,Norm,SBrkr,0.0,TA,Gd,HdBoard,HdBoard,NA,NA,0,PConc,1,Typ,528.0,2,TA,RFn,TA,Attchd,1502.0,1,GasA,TA,1Story,1,Gd,Lvl,Gtl,6820.0,Corner,IR1,0.0,120,RL,0.0,None,NA,0.0,6,StoneBr,54.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,140.0,Pave,4,2.5,1488.0,194.0,2990.0,8.003028666384733,AllPub,0.0,1985,1985,2010,212000.0,12.26434155365415
16,527216070,1690.0,1589.0,0.0,NA,4,1Fam,TA,Gd,1,0,Gd,234.0,1416.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Ex,CemntBd,WdShing,NA,Gd,1,PConc,3,Mod,841.0,3,TA,Fin,TA,BuiltIn,3279.0,1,GasA,Ex,2Story,1,Ex,HLS,Mod,53504.0,CulDSac,IR2,0.0,060,RL,603.0,BrkFace,NA,0.0,6,StoneBr,36.0,5,8,Y,0.0,NA,CompShg,Hip,Normal,WD,210.0,Pave,12,4.5,1650.0,749.0,4929.0,8.502891406705377,AllPub,503.0,2003,2003,2010,538000.0,13.195613839143922
17,527225035,1080.0,672.0,0.0,NA,4,1Fam,TA,Av,0,0,Gd,132.0,427.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,Wd Sdng,Wd Sdng,NA,NA,0,Wood,2,Typ,492.0,2,TA,RFn,TA,Basment,1752.0,0,GasA,Gd,1.5Fin,1,TA,Bnk,Mod,12134.0,Inside,IR1,0.0,050,RL,0.0,None,NA,0.0,6,Gilbert,12.0,7,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,8,2.0,559.0,337.0,2311.0,7.745435610274381,AllPub,325.0,1988,2005,2010,164000.0,12.007621706806335
18,527258010,1856.0,0.0,0.0,NA,1,1Fam,TA,Av,1,0,Ex,411.0,1445.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Ex,1,PConc,1,Typ,834.0,3,TA,Fin,TA,Attchd,1856.0,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,11394.0,Corner,Reg,0.0,020,RL,350.0,Stone,NA,0.0,6,StoneBr,0.0,2,9,Y,0.0,NA,CompShg,Hip,Partial,New,0.0,Pave,8,2.5,1856.0,113.0,3712.0,8.21932609390609,AllPub,113.0,2010,2010,2010,394432.0,12.885202034321916
19,527276150,864.0,0.0,0.0,NA,2,1Fam,TA,No,0,0,TA,744.0,120.0,0.0,LwQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,NA,0,CBlock,1,Typ,400.0,2,TA,Unf,TA,Detchd,864.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,19138.0,Corner,Reg,0.0,020,RL,0.0,None,NA,0.0,6,Gilbert,0.0,5,4,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,1.0,864.0,0.0,1728.0,7.454719949364001,AllPub,0.0,1951,1951,2010,141000.0,11.856515169360305
20,527302110,2073.0,0.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,589.0,790.0,163.0,ALQ,Rec,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,MnPrv,TA,2,CBlock,2,Min1,500.0,2,TA,Unf,TA,Attchd,2073.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,13175.0,Inside,Reg,0.0,020,RL,119.0,Stone,NA,0.0,2,NWAmes,0.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,3.0,1542.0,349.0,3615.0,8.192847134592865,AllPub,349.0,1978,1988,2010,210000.0,12.254862809699606
21,527358140,1844.0,0.0,0.0,NA,3,1Fam,TA,No,0,0,Gd,1139.0,705.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,2,Typ,546.0,2,TA,RFn,TA,Attchd,1844.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11751.0,Inside,IR1,0.0,020,RL,480.0,BrkFace,NA,0.0,1,NWAmes,122.0,6,6,Y,0.0,NA,CompShg,Hip,Normal,COD,0.0,Pave,7,2.0,1844.0,122.0,3688.0,8.212839584676484,AllPub,0.0,1977,1977,2010,190000.0,12.154779351142624
22,527358200,1173.0,0.0,0.0,NA,3,1Fam,TA,Gd,1,0,Gd,0.0,885.0,168.0,GLQ,LwQ,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,MnPrv,TA,2,CBlock,2,Typ,528.0,2,TA,RFn,TA,Attchd,1173.0,0,GasA,TA,SFoyer,1,Gd,Lvl,Gtl,10625.0,Inside,Reg,0.0,085,RL,81.0,BrkFace,NA,0.0,1,NWAmes,120.0,6,7,Y,0.0,NA,CompShg,Gable,Family,WD,0.0,Pave,6,3.0,1053.0,120.0,2226.0,7.70796153183549,AllPub,0.0,1974,1974,2010,170000.0,12.043553716032399
23,527368020,814.0,860.0,0.0,NA,3,1Fam,TA,No,1,0,Gd,281.0,533.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,Typ,663.0,2,TA,RFn,TA,Attchd,1674.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,7500.0,Inside,Reg,0.0,060,FV,0.0,None,NA,0.0,1,Somerst,96.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,3.5,814.0,96.0,2488.0,7.81923445385907,AllPub,0.0,2000,2000,2010,216000.0,12.283033686666302
24,527402200,1004.0,0.0,0.0,NA,2,1Fam,TA,No,1,0,TA,426.0,578.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Wd Sdng,Wd Sdng,NA,TA,1,CBlock,1,Typ,480.0,2,TA,Fin,TA,Attchd,1004.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11241.0,CulDSac,IR1,0.0,020,RL,180.0,BrkFace,Shed,700.0,3,Names,0.0,7,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,2.0,1004.0,0.0,2008.0,7.60489448081162,AllPub,0.0,1970,1970,2010,149000.0,11.911701584927597
25,527402250,1078.0,0.0,0.0,NA,3,1Fam,TA,No,1,0,TA,344.0,734.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,NA,Fa,1,CBlock,1,Typ,500.0,2,TA,Fin,TA,Attchd,1078.0,1,GasA,Ex,1Story,1,TA,Lvl,Gtl,12537.0,CulDSac,IR1,0.0,020,RL,0.0,None,NA,0.0,4,Names,0.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,2.5,1078.0,0.0,2156.0,7.6760099320288875,AllPub,0.0,1971,2008,2010,149900.0,11.917723684090689
26,527403020,1056.0,0.0,0.0,NA,3,1Fam,TA,No,1,0,TA,281.0,775.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,184.0,TA,TA,VinylSd,VinylSd,NA,Fa,1,CBlock,1,Typ,304.0,1,TA,Unf,TA,Attchd,1056.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8450.0,Inside,Reg,0.0,020,RL,0.0,None,NA,0.0,7,Names,85.0,6,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,2.0,1056.0,269.0,2112.0,7.655390644826152,AllPub,0.0,1968,1968,2010,142000.0,11.863582336583399
27,527404120,882.0,0.0,0.0,NA,2,1Fam,TA,No,1,0,TA,0.0,804.0,78.0,ALQ,Rec,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,MnPrv,NA,0,CBlock,1,Typ,525.0,2,TA,Fin,TA,Attchd,882.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8400.0,Corner,Reg,0.0,020,RL,0.0,None,NA,0.0,4,Names,0.0,5,4,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,2.0,882.0,240.0,1764.0,7.475339236566737,AllPub,240.0,1970,1970,2010,126000.0,11.744037185933616
28,527425090,864.0,0.0,0.0,NA,3,1Fam,TA,No,0,0,TA,432.0,432.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,Po,1,CBlock,1,Typ,0.0,0,NA,NA,NA,NA,864.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,10500.0,FR2,Reg,0.0,020,RL,0.0,None,NA,0.0,4,Names,0.0,5,4,Y,0.0,NA,CompShg,Gable,Normal,ConLI,0.0,Pave,5,1.0,864.0,0.0,1728.0,7.454719949364001,AllPub,0.0,1971,1971,2010,115000.0,11.652687407345388
29,527427230,1337.0,0.0,0.0,NA,2,TwnhsE,TA,No,1,0,Gd,354.0,1051.0,0.0,GLQ,BLQ,Y,Norm,Norm,SBrkr,0.0,TA,Gd,MetalSd,MetalSd,NA,Fa,1,PConc,2,Typ,511.0,2,TA,Fin,TA,Attchd,1337.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,5858.0,FR2,IR1,0.0,120,RH,0.0,None,NA,0.0,6,Names,68.0,5,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,5,3.0,1405.0,271.0,2742.0,7.91644286012226,AllPub,203.0,1999,1999,2010,184000.0,12.122691036591123
30,527451180,483.0,504.0,0.0,NA,2,TwnhsI,TA,No,0,0,TA,327.0,156.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,Typ,264.0,1,TA,Unf,TA,Detchd,987.0,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680.0,Inside,Reg,0.0,160,RM,504.0,BrkFace,NA,0.0,2,BrDale,0.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,COD,0.0,Pave,5,1.5,483.0,275.0,1470.0,7.293017679772782,AllPub,275.0,1971,1971,2010,96000.0,11.472103470449973
31,527451330,525.0,567.0,0.0,NA,3,TwnhsI,TA,No,0,0,TA,225.0,300.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,Typ,320.0,1,TA,Unf,TA,Detchd,1092.0,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680.0,Inside,Reg,0.0,160,RM,492.0,BrkFace,NA,0.0,3,BrDale,0.0,5,5,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,1.5,525.0,0.0,1617.0,7.388327859577107,AllPub,0.0,1971,1971,2010,105500.0,11.566466231898259
32,527451410,525.0,567.0,0.0,NA,3,TwnhsI,TA,No,0,0,TA,525.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,ImStucc,NA,NA,0,CBlock,1,Typ,264.0,1,TA,Unf,TA,Detchd,1092.0,1,GasA,TA,2Story,1,TA,Lvl,Gtl,1680.0,Inside,Reg,0.0,160,RM,381.0,BrkFace,NA,0.0,3,BrDale,0.0,5,6,Y,0.0,NA,CompShg,Gable,Family,WD,0.0,Pave,6,1.5,525.0,0.0,1617.0,7.388327859577107,AllPub,0.0,1971,1971,2010,88000.0,11.385092093460344
33,527452190,1069.0,0.0,0.0,NA,2,TwnhsE,TA,No,0,0,Gd,709.0,360.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,Plywood,NA,Fa,1,CBlock,2,Typ,440.0,2,TA,RFn,TA,Attchd,1069.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4043.0,Inside,Reg,0.0,120,RL,0.0,None,NA,0.0,7,NPkVill,55.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,165.0,Pave,4,2.0,1069.0,220.0,2138.0,7.6676260915849905,AllPub,0.0,1977,1977,2010,127500.0,11.755871643580617
34,527453130,855.0,601.0,0.0,NA,3,TwnhsI,TA,No,0,0,TA,341.0,514.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,BrkComm,NA,TA,1,CBlock,2,Typ,440.0,2,TA,Unf,TA,Attchd,1456.0,1,GasA,TA,2Story,1,Gd,Lvl,Gtl,2280.0,FR2,Reg,0.0,160,RL,0.0,None,NA,0.0,6,NPkVill,0.0,6,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,6,2.5,855.0,173.0,2311.0,7.745435610274381,AllPub,173.0,1975,1975,2010,149900.0,11.917723684090689
35,527453150,836.0,0.0,0.0,NA,2,TwnhsI,TA,No,0,0,Gd,836.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,BrkComm,NA,NA,0,CBlock,1,Typ,308.0,1,TA,Unf,TA,Attchd,836.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,2280.0,FR2,Reg,0.0,120,RL,0.0,None,NA,0.0,6,NPkVill,30.0,6,7,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,4,1.0,836.0,30.0,1672.0,7.421775793644647,AllPub,0.0,1975,1975,2010,120000.0,11.695247021764184
36,527454200,855.0,601.0,0.0,NA,3,TwnhsI,TA,No,0,0,Gd,544.0,311.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,TA,Plywood,BrkComm,NA,TA,1,CBlock,2,Typ,440.0,2,TA,Unf,TA,Attchd,1456.0,1,GasA,Fa,2Story,1,TA,Lvl,Gtl,2280.0,Inside,Reg,0.0,160,RL,0.0,None,NA,0.0,7,NPkVill,0.0,5,6,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,2.5,855.0,26.0,2311.0,7.745435610274381,AllPub,26.0,1978,1978,2010,146000.0,11.891361900690473
37,528108120,1627.0,707.0,0.0,NA,3,1Fam,TA,No,0,0,Ex,1590.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,751.0,3,TA,Fin,TA,Attchd,2334.0,1,GasA,Ex,2Story,1,Ex,Lvl,Gtl,12858.0,Inside,IR1,0.0,060,RL,162.0,Stone,NA,0.0,1,NridgHt,133.0,5,9,Y,0.0,NA,CompShg,Gable,Partial,New,0.0,Pave,10,2.5,1590.0,277.0,3924.0,8.274866820685254,AllPub,144.0,2009,2010,2010,376162.0,12.837775180646194
38,528112020,1704.0,0.0,0.0,NA,3,1Fam,TA,No,1,0,Ex,486.0,1218.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,772.0,3,TA,RFn,TA,Attchd,1704.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11478.0,Inside,Reg,0.0,020,RL,200.0,Stone,NA,0.0,5,NridgHt,50.0,5,8,Y,0.0,NA,CompShg,Gable,Normal,WD,0.0,Pave,7,3.0,1704.0,50.0,3408.0,8.133880887949207,AllPub,0.0,2007,2008,2010,306000.0,12.631340380934517
39,528120060,1940.0,0.0,0.0,NA,3,1Fam,TA,Av,1,0,Ex,284.0,1646.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0.0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,606.0,3,TA,Fin,TA,Attchd,1940.0,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,10159.0,Inside,IR1,0.0,020,RL,450.0,Stone,NA,0.0,4,NridgHt,95.0,5,9,Y,0.0,NA,CompShg,Hip,Partial,New,0.0,Pave,8,3.5,1930.0,263.0,3870.0,8.261009786023827,AllPub,168.0,2009,2010,2010,395192.0,12.88712700173598
